freq_hz,delta_db_raw,delta_db_smooth
2.050781250000000000e+03,5.765800476074218750e-01,1.491304516792297363e+00
2.056640625000000000e+03,5.955820083618164062e-01,1.495589613914489746e+00
2.062500000000000000e+03,6.800518035888671875e-01,1.499792575836181641e+00
2.068359375000000000e+03,6.919288635253906250e-01,1.492126345634460449e+00
2.074218750000000000e+03,8.569011688232421875e-01,1.496511816978454590e+00
2.080078125000000000e+03,1.093673706054687500e+00,1.506289362907409668e+00
2.085937500000000000e+03,1.382820129394531250e+00,1.524063229560852051e+00
2.091796875000000000e+03,1.846017837524414062e+00,1.542122364044189453e+00
2.097656250000000000e+03,1.866742134094238281e+00,1.551885485649108887e+00
2.103515625000000000e+03,1.943840026855468750e+00,1.557869315147399902e+00
2.109375000000000000e+03,2.023653030395507812e+00,1.561379671096801758e+00
2.115234375000000000e+03,2.102642059326171875e+00,1.566191554069519043e+00
2.121093750000000000e+03,2.102487564086914062e+00,1.569025993347167969e+00
2.126953125000000000e+03,1.251353263854980469e+00,1.581680774688720703e+00
2.132812500000000000e+03,1.305717468261718750e+00,1.604982495307922363e+00
2.138671875000000000e+03,1.376372337341308594e+00,1.620578169822692871e+00
2.144531250000000000e+03,1.674503326416015625e+00,1.644384145736694336e+00
2.150390625000000000e+03,1.993197441101074219e+00,1.667574524879455566e+00
2.156250000000000000e+03,2.337015151977539062e+00,1.696368336677551270e+00
