start_sample,end_sample,start_sec,end_sec,len_samples
60113312,60113458,1252.3606666666667,1252.3637083333333,146
60123019,60123164,1252.5628958333334,1252.5659166666667,145
60123383,60123528,1252.5704791666667,1252.5735,145
60125722,60125905,1252.6192083333333,1252.6230208333334,183
60133042,60133262,1252.7717083333334,1252.7762916666666,220
60134077,60134222,1252.7932708333333,1252.7962916666668,145
60140931,60141165,1252.9360625,1252.9409375,234
60142985,60143130,1252.9788541666667,1252.981875,145
60144282,60144427,1253.005875,1253.0088958333333,145
60161546,60161691,1253.3655416666666,1253.3685625,145
60166822,60166967,1253.4754583333333,1253.4784791666666,145
60170743,60170893,1253.5571458333334,1253.5602708333333,150
60170999,60171247,1253.5624791666667,1253.5676458333332,248
60171300,60171453,1253.56875,1253.5719375,153
60174048,60174193,1253.626,1253.6290208333332,145
60176339,60176717,1253.6737291666666,1253.6816041666666,378
60176842,60176987,1253.6842083333333,1253.6872291666666,145
60177241,60177574,1253.6925208333334,1253.6994583333333,333
60178871,60179016,1253.7264791666666,1253.7295,145
60189439,60189584,1253.9466458333334,1253.9496666666666,145
60189619,60189764,1253.9503958333332,1253.9534166666667,145
60189799,60190124,1253.9541458333333,1253.9609166666667,325
60190518,60190663,1253.969125,1253.9721458333333,145
60195289,60195434,1254.0685208333334,1254.0715416666667,145
60196204,60196349,1254.0875833333334,1254.0906041666667,145
60199373,60199518,1254.1536041666666,1254.156625,145
60201753,60201899,1254.2031875,1254.2062291666666,146
60208701,60209071,1254.3479375,1254.3556458333333,370
60209143,60209288,1254.3571458333333,1254.3601666666666,145
60210342,60210488,1254.382125,1254.3851666666667,146
60346553,60346703,1257.2198541666667,1257.2229791666666,150
60428110,60428293,1258.9189583333334,1258.9227708333333,183
60428412,60428595,1258.92525,1258.9290625,183
60603546,60603691,1262.573875,1262.5768958333333,145
60610601,60610851,1262.7208541666666,1262.7260625,250
60611740,60612088,1262.7445833333334,1262.7518333333333,348
60614537,60614682,1262.8028541666667,1262.805875,145
60628423,60628728,1263.0921458333332,1263.0985,305
60836489,60836634,1267.4268541666668,1267.429875,145
60890244,60890591,1268.54675,1268.5539791666667,347
60893777,60893962,1268.6203541666666,1268.6242083333334,185
60894091,60894394,1268.6268958333333,1268.6332083333334,303
60894680,60894865,1268.6391666666666,1268.6430208333334,185
60896476,60896784,1268.6765833333334,1268.683,308
60896967,60897276,1268.6868125,1268.69325,309
60899753,60900057,1268.7448541666668,1268.7511875,304
60903181,60903366,1268.8162708333334,1268.820125,185
60905369,60905674,1268.8618541666667,1268.8682083333333,305
60914037,60914408,1269.0424375,1269.0501666666667,371
60914519,60914709,1269.0524791666667,1269.0564375,190
60914901,60915236,1269.0604375,1269.0674166666668,335
